City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,haiku-pauwela,20.9219,-156.3051,295.4,74,20,7.2,US,1709403027
280,rio grande,-32.035,-52.0986,303.12,74,53,4.1,BR,1709403028
281,nyurba,63.2842,118.3319,246.33,100,99,1.44,RU,1709403029
282,punta arenas,-53.15,-70.9167,282.21,57,40,12.35,CL,1709402779
283,kingston,17.997,-76.7936,297.15,56,40,3.11,JM,1709402932
284,ormara,25.2088,64.6357,288.61,38,0,10.6,PK,1709403032
285,tazovsky,67.4667,78.7,265.67,95,100,4.68,RU,1709403034
286,kuching,1.55,110.3333,301.49,95,40,0.0,MY,1709402785
287,polyarnyy,69.1989,33.4478,274.25,88,85,6.47,RU,1709403037
288,gornopravdinsk,60.05,69.9,266.88,95,100,4.33,RU,1709403038
289,san ildefonso,15.0809,120.941,299.25,87,56,0.88,PH,1709403039
290,as sulayyil,20.4607,45.5779,295.29,16,60,5.03,SA,1709403040
291,tralee,52.2704,-9.7026,279.29,65,40,6.69,IE,1709402954
292,buka,40.8108,69.1986,274.5,99,100,1.01,UZ,1709403046
293,makokou,0.5738,12.8642,297.94,87,95,1.02,GA,1709403049
294,yucheng,34.9289,116.4653,277.4,71,0,4.11,CN,1709403050
295,fale old settlement,-9.3852,-171.2468,302.06,79,64,7.79,TK,1709403050
296,la palma,33.8464,-118.0467,290.27,84,75,5.36,US,1709403051
297,centerville,39.6284,-84.1594,282.92,87,100,1.79,US,1709403033
298,ruteng,-8.6136,120.4721,291.12,89,98,0.41,ID,1709403053
299,pierre,44.3683,-100.351,276.66,75,20,1.54,US,1709403025
300,tondano,1.3038,124.9112,293.2,94,95,1.34,ID,1709403055
301,petropavlovsk-kamchatsky,53.0452,158.6483,265.48,73,75,0.0,RU,1709403055
302,olonkinbyen,70.9221,-8.7187,270.13,71,94,4.27,SJ,1709403060
303,conduaga,8.862,117.4893,297.51,83,57,1.39,PH,1709403061
304,saldanha,-33.0117,17.9442,291.29,87,12,13.38,ZA,1709403062
305,selkirk,50.1436,-96.8845,267.64,60,100,1.79,CA,1709402998
306,totness,5.8833,-56.3167,302.77,61,89,4.65,SR,1709403064
307,keflavik,64.0049,-22.5624,272.39,55,0,1.03,IS,1709403065
308,sarina,-21.4333,149.2167,298.3,1,51,1.68,AU,1709403065
309,brak,27.5496,14.2714,292.67,19,82,1.89,LY,1709403068
310,selfoss,63.9331,-20.9971,268.34,70,18,2.2,IS,1709403068
311,cefalu,38.0386,14.0229,285.7,80,47,0.34,IT,1709403069
312,nelson bay,-32.7167,152.15,295.37,95,100,0.89,AU,1709403070
313,simanggang,1.2472,111.4528,297.38,99,100,0.82,MY,1709403071
314,san antonio de pale,-1.4014,5.6325,301.73,70,100,1.35,GQ,1709403072
315,sheringham,52.9408,1.2093,280.43,87,70,7.75,GB,1709402843
316,malango,-2.9627,119.9001,294.17,96,100,0.83,ID,1709403074
317,las lomitas,-24.7096,-60.593,315.98,21,8,4.1,AR,1709403074
318,colchani,-20.3,-66.9333,289.99,43,91,2.83,BO,1709403075
319,page,36.9147,-111.4558,290.03,21,0,12.07,US,1709403000
320,nikolayevsk-on-amure,53.1406,140.73,248.7,99,78,1.8,RU,1709403077
321,pathein,16.7833,94.7333,294.4,73,64,3.4,MM,1709403078
322,newman,37.3138,-121.0208,284.9,76,57,2.24,US,1709403079
323,markovo,57.3206,107.0881,260.33,98,100,1.41,RU,1709402957
324,burela de cabo,43.65,-7.4,282.13,69,100,6.66,ES,1709403081
325,roquetas de mar,36.7642,-2.6148,289.15,74,12,15.82,ES,1709403083
326,alzamay,55.5562,98.6644,257.92,99,100,1.23,RU,1709403083
327,usinsk,65.9939,57.5281,271.52,97,100,8.05,RU,1709403085
328,pacocha,-17.5833,-71.3333,299.23,61,0,5.14,PE,1709403086
329,iskateley,67.6803,53.1512,273.16,95,100,7.6,RU,1709403087
330,aleksandrovsk-sakhalinskiy,50.8975,142.1561,258.46,96,100,1.96,RU,1709403088
331,khovd,48.0056,91.6419,260.55,57,61,0.14,MN,1709403089
332,petauke,-14.2426,31.3253,293.74,80,82,1.93,ZM,1709403090
333,colonia rincon viejo,16.9,-95.05,302.24,60,76,3.67,MX,1709403091
334,hadibu,12.65,54.0333,298.19,72,75,4.95,YE,1709403092
335,bandarbeyla,9.4942,50.8122,299.89,77,100,6.27,SO,1709403093
336,nieuw nickerie,5.95,-56.9833,301.52,68,64,5.32,SR,1709403094
337,port hedland,-20.3167,118.5667,300.18,83,98,2.06,AU,1709403094
338,velikovechnoye,44.934,39.755,282.77,60,100,7.13,RU,1709403096
339,medina,24.4686,39.6142,301.39,36,40,5.66,SA,1709403097
340,la passe,45.5549,-0.8967,281.28,81,100,2.48,FR,1709403098
341,nova vicosa,-17.8919,-39.3719,300.46,79,99,4.81,BR,1709403099
342,mega,4.05,38.3,297.06,36,43,4.23,ET,1709403100
343,kalmunai,7.4167,81.8167,298.57,83,78,2.27,LK,1709403101
344,mount pearl,47.5166,-52.7813,271.56,65,49,5.36,CA,1709403102
345,mugia,43.1041,-9.2179,281.43,68,67,9.2,ES,1709403103
346,nantucket,41.2835,-70.0995,281.23,93,100,6.69,US,1709403104
347,xiahu,26.6106,119.9483,280.44,80,20,2.59,CN,1709403104
348,green river,41.5286,-109.4662,282.58,43,98,3.58,US,1709403105
349,whiteville,34.3388,-78.7031,295.34,78,75,1.54,US,1709402833
350,hami,42.8,93.45,273.08,32,87,2.3,CN,1709403107
351,gaspe,48.8334,-64.4819,271.27,54,75,3.6,CA,1709403108
352,yambio,4.5721,28.3955,304.65,22,70,0.88,SS,1709403109
353,ballina,-28.8667,153.5667,296.36,96,99,3.27,AU,1709403110
354,cambria,35.5641,-121.0808,286.05,92,94,2.68,US,1709403111
355,dauphin,51.1494,-100.0502,259.23,66,40,4.12,CA,1709403111
356,nadym,65.5333,72.5167,264.76,95,92,4.83,RU,1709403112
357,yerofey pavlovich,53.9667,121.9667,248.09,96,55,1.84,RU,1709403113
358,i-n-salah,27.1935,2.4607,294.0,14,36,1.34,DZ,1709402910
359,nadi,-17.8,177.4167,299.15,89,40,1.03,FJ,1709403115
360,sisimiut,66.9395,-53.6735,269.16,73,93,6.79,GL,1709403116
361,dahlonega,34.5326,-83.9849,290.43,94,99,1.19,US,1709403117
362,ertil',51.8406,40.8056,270.76,85,78,4.94,RU,1709403118
363,karagandy,49.8019,73.1021,254.12,100,55,1.84,KZ,1709403118
364,chibougamau,49.9168,-74.3659,277.94,48,75,9.77,CA,1709403121
